drift_magnitude,phi,delta_phi,auc
0.0,0.0,0.0,0.9999966797705057
0.1,0.0003233333333333334,0.0003200000012511435,0.9999966797705058
0.2,0.00047666666666666674,0.00046000000203063354,0.9999966797705058
0.30000000000000004,0.0007300000000000002,0.000700000002163321,0.9999966797705058
0.4,0.00118,0.001130000003455077,0.9999966797705057
0.5,0.0015433333333333336,0.0014433333377350198,0.9999950196557585
0.6000000000000001,0.0021100000000000003,0.0019700000054719826,0.9999933595410114
0.7000000000000001,0.0027866666666666665,0.002596666675535677,0.9999933595410114
0.8,0.003576666666666667,0.0033500000107143007,0.9999916994262644
0.9,0.004613333333333333,0.0043066666827537075,0.9999916994262643
1.0,0.005773333333333334,0.005340000021492328,0.9999916994262643
